商品名,URL,小分類,効能効果,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
半夏厚朴湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000737,半夏厚朴湯,気分がふさいで、咽喉・食道部に異物感があり、ときに動悸、めまい、嘔気などを伴う次の諸症：不安神経症、神経性胃炎、つわり、せき、しわがれ声,"半夏厚朴湯エキス細粒G「コタロー」は、心配性ないし神経質で、気分が重く、あるいはふさぎがちなタイプに用いる漢方薬です。
　具体的には、ノドに何かひっかかっているような感じで、咳ばらいをしてもとれないとか、動悸などがあって何かと不安で、夜もよく眠れない、ストレスが影響して、吐き気などを訴え胃腸の調子がよくないといった方に用います。",半夏厚朴湯エキス(1.76g),ハンゲ(4.8g)、ブクリョウ(4g)、コウボク(2.4g)、ソヨウ(1.6g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(4.8g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.6g：3回
15歳未満7歳以上：2／3包または1.1g：3回
7歳未満4歳以上：1／2包または0.8g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.4g以下：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位（つわりに服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
婦人宝,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000168,生薬製剤,更年期障害による次の疾患：生理不順、生理痛、冷え症、貧血、腹痛、腰痛、肩こり、頭痛、めまい、のぼせ、耳鳴り,"冷え症で悩んでいる女性の方はたくさんおられます。冷え症は体質の問題だと考えられ、現代医学では病気として認めてもらえないことも多く、つらさを我慢している方もおられます。月経の異常、不妊症、腰痛などは、冷え症が原因となっていることもあります。慢性的な冷えは、更年期には不定愁訴としてあらわれることもあります。婦人宝はこのような方のお薬です。
　婦人宝はトウキをはじめ、センキュウ、オウギなど9種類の生薬が配合された飲みやすいシロップ剤です。",軟エキス(4.6g),トウキ(5.52g)、アキョウ(0.36g)、オウギ(0.36g)、ジオウ(0.36g)、シャクヤク(0.36g)、トウジン(0.36g)、ブクリョウ(0.36g)、カンゾウ(0.16g)、センキュウ(0.16g),安息香酸ナトリウム、黒砂糖、白糖、パラオキシ安息香酸ブチル、プロピレングリコール、ポリオキシエチレン硬化ヒマシ油60、香料、エタノール、グリセリン、バニリン、エチルバニリン,10mL,"次の量を、1日2回服用してください。

［年齢：1回量：1日服用回数］
成人（15歳以上）：5mL：2回
15歳未満：服用しないでください

（添付のコップは、10mLの計量用となっております）","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）胃腸が弱く下痢しやすい人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）定められた用法・用量を厳守してください。
（2）本剤は、15歳未満の小児に服用させないでください。"
分消湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000063,分消湯,体力中等度以上で、尿量が少なくて、ときにみぞおちがつかえて便秘の傾向のあるものの次の諸症：むくみ、排尿困難、腹部膨満感,"分消湯エキス細粒G「コタロー」は、身体に水がたまって、むくんだり、腹部が張ったように感じる時に用いる漢方薬です。そんな時に、西洋医学では腎臓にトラブルが起きていると考えて、一般的には利尿剤を用いて治療します。
　このタイプの浮腫は、勢いがあって、圧迫した凹みがすぐ元に戻るもの（実腫）です。むくんでいる時は、みぞおちがつかえて、大小便が少ない傾向にあり、少し食べても腹が張って苦しいという方に適しています。",水製エキス(3.6g),ソウジュツ(2g)、ビャクジュツ(2g)、ブクリョウ(2g)、コウブシ(1.6g)、コウボク(1.6g)、タクシャ(1.6g)、チョレイ(1.6g)、チンピ(1.6g)、キジツ(0.8g)、シュクシャ(0.8g)、ショウキョウ(0.8g)、ダイフクヒ(0.8g)、トウシンソウ(0.8g)、モッコウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム,3包(4.5g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.5g：3回
15歳未満7歳以上：2／3包または1.0g：3回
7歳未満4歳以上：1／2包または0.75g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.37g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
防已黄耆湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0801000355,防已黄耆湯,体力中等度以下で、疲れやすく、汗のかきやすい傾向があるものの次の諸症：肥満症（筋肉にしまりのない、いわゆる水ぶとり）、多汗症、肥満に伴う関節のはれや痛み、むくみ,"本剤は、体の水分代謝機能をよくし、むくみなどをとる効果がある処方です。
　防已黄耆湯エキス細粒G「コタロー」は、汗かきで疲れやすい水太りの方、体の重だるい方に効果があります。また膝や足の関節に腫れや痛みがある場合にも用いられます。",防已黄耆湯エキス(3.84g),オウギ(4g)、ボウイ(4g)、タイソウ(2.4g)、ビャクジュツ(2.4g)、カンゾウ(1.2g)、ショウキョウ(0.64g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満7歳以上：2／3包または1.3g：3回
7歳未満4歳以上：1／2包または1.0g：3回
4歳未満2歳以上：1／3包または0.7g：3回
2歳未満：1／4包または0.5g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
防風通聖散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000384,防風通聖散,体力充実して、腹部に皮下脂肪が多く、便秘がちなものの次の諸症：高血圧や肥満に伴う動悸・肩こり・のぼせ・むくみ・便秘、蓄膿症（副鼻腔炎）、湿疹・皮膚炎、吹出物（にきび）、肥満症,"防風通聖散エキス細粒G「コタロー」は、便秘を改善し、排尿、発汗を促して体内の老廃物を取り去る効果があります。これらにより体調を整え、脂肪が多い肥満体質を改善する処方です。
　便秘がちで、特に腹部の皮下脂肪が厚い脂肪太りの方に用いられ、また同時に高血圧に伴う症状がある場合にも効果があります。",防風通聖散エキス(4.8g),カッセキ(2.4g)、オウゴン(1.6g)、カンゾウ(1.6g)、キキョウ(1.6g)、セッコウ(1.6g)、ビャクジュツ(1.6g)、ダイオウ(1.2g)、ケイガイ(0.96g)、サンシシ(0.96g)、シャクヤク(0.96g)、センキュウ(0.96g)、トウキ(0.96g)、ハッカ(0.96g)、ボウフウ(0.96g)、マオウ(0.96g)、レンギョウ(0.96g)、無水ボウショウ(0.56g)、ショウキョウ(0.24g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(7.2g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満：服用しないでください","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
2．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
　（5）発汗傾向の著しい人。
　（6）高齢者。
　（7）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（8）次の症状のある人。
　　むくみ、排尿困難
　（9）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、胃部不快感、腹部膨満、はげしい腹痛を伴う下痢、腹痛
精神神経系：めまい
その他：発汗、動悸、むくみ、頭痛

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢、便秘
4．1ヵ月位（便秘に服用する場合には1週間位）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．長期連用する場合には、医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
補気建中湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1001000008,補気健中湯,体力虚弱で、胃腸が弱いものの次の諸症：腹部膨満感、むくみ,"多くはお腹や全身に溜まった水（漢方でいう水毒）の治療に使用される漢方薬です。水液代謝の異常である腹部や全身に溜まった水には、元気な時期では西洋医学の利尿薬を用いることができますが、元気が衰え虚弱になったものには、あまり適していません。そんな時に用いるのが補気建中湯です。
　補気建中湯エキス細粒G「コタロー」は、体力を補いながら余分に溜まったお腹や全身の水を取り除き、患者様のQOL（生活の質）を高めてくれる漢方薬です。",水製エキス(4.9g),ニンジン(2.4g)、ビャクジュツ(2.4g)、ブクリョウ(2.4g)、ソウジュツ(2g)、チンピ(2g)、オウゴン(1.6g)、コウボク(1.6g)、タクシャ(1.6g)、バクモンドウ(1.6g),含水二酸化ケイ素、ステアリン酸マグネシウム,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満7歳以上：2／3包または1.33g：3回
7歳未満4歳以上：1／2包または1.0g：3回
4歳未満2歳以上：1／3包または0.67g：3回
2歳未満：1／4包または0.5g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
2．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
補中益気湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0801000356,補中益気湯,体力虚弱で、元気がなく、胃腸の働きが衰えて、疲れやすいものの次の諸症：虚弱体質、疲労倦怠、病後・術後の衰弱、食欲不振、ねあせ、感冒,"本剤は、疲れやすく、食欲がないといった方に用いられる処方です。
　補中益気湯エキス細粒G「コタロー」は、疲れがたまって、手足がぬけるようにだるいという方、普段胃腸があまり丈夫でない方、あるいは太れないタイプの方、病後でまだ本調子でない方を目安に用いられます。",補中益気湯エキス(5.6g),オウギ(3.2g)、ニンジン(3.2g)、ビャクジュツ(3.2g)、トウキ(2.4g)、サイコ(1.6g)、タイソウ(1.6g)、チンピ(1.6g)、カンゾウ(1.2g)、ショウマ(0.8g)、ショウキョウ(0.4g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(9.6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または3.2g：3回
15歳未満7歳以上：2／3包または2.1g：3回
7歳未満4歳以上：1／2包または1.6g：3回
4歳未満2歳以上：1／3包または1.1g：3回
2歳未満：1／4包または0.8g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（5）次の症状のある人。
　　むくみ
　（6）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（感冒に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
補陽還五湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1301000052,補陽還五湯,体力虚弱なものの次の諸症：しびれ、筋力低下、頻尿、軽い尿漏れ,"わが国では医療が進歩して、過去に多かった細菌などによる感染症が治療できるようになったため、平均寿命が急速に延びて長寿の方が増えました。一方、食生活の欧米化、運動不足、ストレスなどの影響で高血圧、高脂血症、脳梗塞などの生活習慣病が増え、疾病分布が変わってきました。このような生活習慣病では、血液を順調に全身にめぐらせることが大切ですが、血液の流れが悪くなるために、全身にいろいろな不都合が生じている方が増えています。
　手足がしびれたり、麻痺したり、また筋力の低下や、尿を漏らすなどの症状には補陽還五湯エキス細粒G「コタロー」が適応します。日々の生活改善をはかる一助として、本剤をお役立てください。",水製エキス(3.2g),オウギ(5g)、シャクヤク(3g)、トウキ(3g)、コウカ(2g)、ジリュウ(2g)、センキュウ(2g)、トウニン(2g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン、アメ粉,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気、食欲不振、胃部不快感、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",
麻黄附子細辛湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1601000007,麻黄附子細辛湯,体力虚弱で、手足に冷えがあり、ときに悪寒があるものの次の諸症：感冒、アレルギー性鼻炎、気管支炎、気管支ぜんそく、神経痛,"体力が低下した方や高齢者では、かぜをひいても寒気だけで熱はそれほど高くなく、水っぽい鼻水やのどの痛み、からだのだるさなどを訴えることがあります。
　麻黄附子細辛湯エキス細粒G「コタロー」は、このような体力虚弱で、寒気や手足の冷えがある方の感冒、気管支炎、気管支ぜんそくに効果があります。また、アレルギー性鼻炎には通年性、季節性を問わず効果があり、冷えによる神経痛にも応用されています。",水製エキス(0.81g),マオウ(3.2g)、サイシン(2.4g)、ブシ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム、アメ粉,3包(3g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包：3回
15歳未満7歳以上：2／3包：3回
7歳未満4歳以上：1／2包：3回
4歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸の弱い人。
　（5）のぼせが強く赤ら顔で体力の充実している人。
　（6）発汗傾向の著しい人。
　（7）高齢者。
　（8）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（9）次の症状のある人。
　　排尿困難
　（10）次の診断を受けた人。
　　高血圧、心臓病、腎臓病、甲状腺機能障害
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振、胃部不快感
その他：発汗過多、全身倦怠感、発熱、動悸、のぼせ、ほてり、口唇・舌のしびれ

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。

3．1ヵ月位（感冒に服用する場合には5～6日間）服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
麻子仁丸エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000124,麻子仁丸,体力中等度以下で、ときに便が硬く塊状なものの次の諸症：便秘、便秘に伴う頭重・のぼせ・湿疹・皮膚炎・吹出物（にきび）・食欲不振（食欲減退）・腹部膨満・腸内異常醗酵・痔などの症状の緩和,"本剤は、漢方の古典「傷寒論」（後漢時代）収載の処方にもとづいてつくられたエキスを、細粒剤としたものです。
　麻子仁丸エキス細粒G「コタロー」は、潤下作用（腸を潤し、蠕動を促す）のある漢方便秘薬です。便が固めの常習便秘に用いられます。",水製エキス(2.24g),マシニン(4g)、ダイオウ(3.2g)、キジツ(1.6g)、キョウニン(1.6g)、コウボク(1.6g)、シャクヤク(1.6g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(4.8g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.6g：3回
15歳未満7歳以上：2／3包または1.1g：3回
7歳未満4歳以上：1／2包または0.8g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.4g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 1．次の人は服用しないでください
　生後3ヵ月未満の乳児。
2．本剤を服用している間は、次の医薬品を服用しないでください
　他の瀉下薬（下剤）
3．授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けてください
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：はげしい腹痛を伴う下痢、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．5～6日間服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
味麦地黄丸エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000013,味麦地黄丸,体力中等度以下で、疲れやすく胃腸障害がなく、ときにせき、口渇があるものの次の諸症：からぜき、息切れ、下肢痛、腰痛、しびれ、排尿困難、頻尿、むくみ、高齢者のかすみ目、かゆみ,"せきは一般に肺や気管支などの疾患によって発症するものです。一方、漢方では腎虚といわれる老化によって発症するという考え方があります。漢方では、「呼吸」の「呼（吐く息）」は肺がコントロールし、「吸（吸う息）」は腎がコントロールすると考えています。したがって、老化によって慢性化した呼吸の障害（特に息が深く吸えない、息苦しい）がある場合は、腎虚によると考えて治療をします。そのような時に用いられるのが味麦地黄丸です。
　味麦地黄丸エキス細粒G「コタロー」は、老化（腎虚）の色々な症状を伴う、からぜき、手足腰の痛みやしびれ、小便の出が少なかったり多かったりする排尿異常、視力の衰え、乾燥による皮膚のかゆみや口の乾きなどに用いられるお薬です。",エキス散(8.8g),ジオウ(6.4g)、バクモンドウ(4.8g)、サンシュユ(3.2g)、サンヤク(3.2g)、タクシャ(2.4g)、ブクリョウ(2.4g)、ボタンピ(2.4g)、ゴミシ(1.6g),含水二酸化ケイ素、軽質無水ケイ酸、ステアリン酸マグネシウム,3包(11.4g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または3.8g：3回
15歳未満7歳以上：2／3包または2.5g：3回
7歳未満4歳以上：1／2包または1.9g：3回
4歳未満2歳以上：1／3包または1.3g：3回
2歳未満：1／4包または1.0g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
